"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"104063_at",5.41221951063332,5.65976782153332,5.80835695031527,6.13402447525131,5.97116275941962,6.22031688799822,5.55205286754893,5.59534979436224,5.95924918007365,5.47414252362714,5.50632552050703,5.67841351868048
"98069_s_at",8.19667577695943,8.36391360975152,8.62426161383021,8.59776809294135,8.59921121473019,8.88175361103625,8.27181298773726,8.63117053595657,8.63127207331573,8.27616939410101,8.45302851651523,8.53262157750611
"93481_at",9.11554851377289,9.0267395760109,8.77349930194854,9.45057100955067,9.31629373635866,8.56939539842311,9.40099437692956,9.20886992941839,9.01558578055086,9.14490631528167,9.00754162563532,8.87598445262523
"162416_at",3.75641989047795,3.62340284994665,3.37455703847737,3.73468568953363,3.71665719771962,3.60262110859556,3.82453094897054,3.55282846700754,3.35652386629037,3.56390348541625,3.58132333952919,3.36692626582314
"161681_i_at",7.16815880833936,6.75913225676466,6.67167060528489,6.4941102634139,6.38643356225778,6.6167459686579,6.90236949108928,6.43693518805534,6.44121926713976,6.73784842205454,6.73919321828301,6.69788509389968
"95433_at",5.88168734572612,6.28859007844796,5.91479884668622,6.91460597421421,6.39198815743756,5.7615779976213,6.36114573311143,6.27900620526065,6.15151192298643,6.267591586037,6.24667003315463,6.19888857526018
"160150_f_at",7.15557522078749,7.25084269624991,7.43526870068084,7.12939235712275,7.33012848347161,7.70321698621439,6.95639523292103,7.14123188300629,7.60611689089031,6.91330128057303,7.02468608053014,7.19646160121797
"161097_at",4.97997791721573,4.76062489342695,4.49724826020083,4.80127471939759,4.69343487792415,4.48245369418275,4.82687745974659,4.75310996903538,4.35764726077745,4.88451143623812,4.79865245577497,4.49652451268391
"96783_at",6.23158323133871,6.2168271317243,6.62270586048623,6.23177606949744,6.42275902025222,6.4342189453509,6.52313160792792,6.34143276420684,6.6835637190722,6.42061706501979,6.45297334372815,6.69915981276942
"160758_at",6.66823313651926,6.81111082358311,6.97888034074587,6.9972957096114,6.9760493471627,7.31685485272283,6.80493592804288,6.773795637111,6.96300757186447,6.68119986857193,6.64185106107491,6.86243374097756
"94491_at",5.54750151771425,5.86814993810271,6.14921434474202,5.94315719860986,6.38023784515453,6.74806941437288,5.72446767622941,6.08540852869261,6.41160136534734,5.77988771208173,5.7521498962821,6.03636515791007
"104313_at",12.6605528414667,12.7660720982731,12.6666646182293,12.3623741996199,12.3173175721282,12.4474180411079,12.6523746220332,12.4540102069802,12.2858140239286,12.612573367946,12.7276297505869,12.6673238549708
"95944_at",5.54153416529886,5.57865653576474,5.09828966731601,5.39433281475122,5.3985419376312,4.66119102940401,5.80090070796412,5.19366779217637,4.83333734486688,5.72414457545898,5.6913958951944,5.05068023686621
"95567_at",6.0090783084714,6.06608063007405,6.07582579015881,6.37736528763662,6.42964972351179,6.35563477304314,6.00362110246576,6.34781117917426,6.19147149186555,5.86256382009889,5.96389316121264,5.91580676393502
"162124_r_at",4.09078232810549,4.04142039237393,3.58464961930308,4.0941599820968,4.11493153338302,3.77851304661454,4.4099834749424,3.9903051285863,3.3934273538264,4.18825012330588,4.17591730281346,4.01703963767105
"92664_at",6.5019627687726,6.32268194917963,6.18056218426017,6.69292177011391,6.56011463183621,5.69030182374457,6.66659543603342,6.49470719637218,6.09948354133932,6.46817848076221,6.62324364397985,6.36156804299821
"92281_at",7.41034141455808,7.26485649700214,7.42559728258504,7.05409718033684,6.9663101366895,7.04935746128683,7.31357687198281,7.1778692523024,7.1540098965522,7.38968752253762,7.28702002207742,7.48742514876988
"104000_at",6.80049024120781,6.86723528167419,6.36848292871606,6.45007313534099,6.63613555773604,6.39438417129079,6.74436629657488,6.6307938786141,6.21548456979466,6.84072848102439,6.75247001874115,6.48697036181335
"160113_at",7.99453681429905,7.93528557010064,7.88664307647821,8.58322571090378,8.30780869438477,7.95856380430321,8.28062638920576,8.25734263986163,8.1228038269073,7.90907403255924,7.89709693815678,7.9620070122508
"104212_at",9.10505292593799,9.59664560327662,9.36064326787349,9.02352921233862,8.9892770143763,8.94592609004121,9.09101876396384,9.00269255016819,8.82951038495481,9.56257415416724,9.37517766466894,9.31170391133738
"160669_at",8.81340612518034,9.16738323311771,9.59124639468473,9.22499935635089,9.38542448156631,9.79392760868162,8.93831405983712,9.1626556414336,9.45617300058149,8.94223514497718,8.97955796097798,9.27011185973971
