"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"Odc1",8.75369659397252,8.9934413443996,9.14528171577151,9.93241183979069,9.66849984615748,10.500568909242,9.81497693580395,9.77862621379809,10.0221933685255,9.04576506275252,9.32259410782118,9.044710563867
"Psmd4",10.0251520872221,10.4105663345357,10.1890584965943,11.6992193441461,11.1182422220032,11.0207301372983,11.0246282289483,10.9938086227521,10.7542755069115,10.377763010373,10.3579169395343,10.1682564283671
"Rora",6.32322503211024,6.8293588923296,7.55765239586181,8.57092079577679,7.95220615716296,8.87590328787093,7.50611335584742,7.85198024291032,8.53396653226518,6.91743300905541,6.90625450560998,7.57419054870769
"Inmt",7.45372398569487,7.21279690515333,8.39136309445927,9.0598110605274,8.77258666112493,10.1045099749121,8.41192292280949,8.80222534557664,9.55664299290279,7.8704738476084,7.33359246205417,8.3584120805115
"Tnni3",8.17912262599991,8.69123513573573,7.77807337854749,6.47211472555158,6.62369276260452,6.3310195092642,6.52392764184478,6.80451420941957,6.3998811683043,6.64383180583583,6.64618383893469,6.27203239069221
"Xirp1",9.18457981874013,9.75221247128182,9.24798197201429,11.0928367593329,11.0501654748904,10.1557058575864,10.1486600393724,10.0396626247879,10.2751606611089,9.95430106369717,9.45262902074756,9.31428001806114
"Etf1",8.63348880477264,8.91832169560353,9.4251116756298,10.0997226428104,9.90135843970979,10.4608662924956,9.40254255389404,9.6742588630639,10.0417278018479,8.83791248992968,9.00877753458218,9.33402055045132
"Ablim1",6.22944471932239,6.83098896386025,6.81988394835865,7.5627781050589,7.66470883656371,7.683933614897,6.80991419970494,7.01660349244245,7.47622683839277,6.70992473820002,6.36096123083158,6.77943502847344
"Smyd2",9.33173160674398,9.53734676772244,9.77525191370997,10.6197337196894,10.7130191558897,10.5184808940818,10.2399178072866,10.7557622944446,10.7764829762573,9.6511542450748,9.70276585721355,9.4700835278228
"Nrep",9.61736809246461,9.63828345633887,9.6158327090696,7.99668802691237,8.10310482393264,8.16250762118327,8.77210422869686,8.35259261567278,8.12711330996665,9.59175784071851,9.66757354407803,9.8056123358926
"Nsun2",7.1385053063607,7.53596448148588,7.57261818363519,8.59639030009129,8.30160063394987,8.52512893768729,7.91142386773691,8.21959816124842,8.0955742974722,7.56094514269281,7.3684097126807,7.49291838675916
"Lrrc58",8.51727742037191,8.75882323048197,9.55020365712793,10.0897730245801,9.69939533832501,10.3333329048109,9.50195817809694,9.37870334882498,10.1250898279398,8.43977455155197,8.47524246978215,9.26638842341497
"Mybph",8.02818757995033,8.69008466463206,8.23890318005377,6.86446564930455,7.71380257802231,6.78400388589345,7.64580722445452,6.89354646072304,7.10065033788008,8.29666409948496,8.56092602737769,8.36654476014277
"Ankrd2",9.32607938145242,9.54597277410837,9.48811893462231,10.9272022274796,11.0562636611531,10.3485771043001,10.2251839047944,10.2123461352928,10.8405159867279,9.44887078158501,9.7355920393456,9.61455047598846
"Acss1",7.46501465892661,7.98379395244991,7.75238881133471,8.89739667119844,8.54340013643043,8.82488173355511,8.35485056027469,8.45024486713838,8.51067151661658,7.82410158536589,7.49449633330823,7.45878836377657
"Ddit4",6.11974608523931,6.67130454822566,7.89128620183118,9.09587673253408,9.57045273142484,8.88973368249742,9.18847936719972,8.68185650009688,9.04280509352266,6.04762891501414,5.98911299663231,6.85093447987495
"Ckmt2",9.75891499380637,9.95453588951328,10.2598742786293,8.29436327403256,8.38092247039068,9.0809019047682,9.48976914408833,9.13655106664234,9.58299759840667,10.1337289842751,10.016776177735,10.4854609091757
