"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"100054_s_at",6.67611976547379,6.65324522429486,6.49423300073516,6.55569230171029,6.50383765007478,6.30763280953983,6.68220651058772,6.60376674745911,6.4819062777965,6.66393840862712,6.77874627317029,6.59319788930525
"100056_at",8.65785198508213,8.77002945708601,8.87133588117563,8.8150996037111,8.69652789755217,9.01983468642112,8.74199986469179,8.61915441708596,8.85791585112421,8.79018106877878,8.76217038817181,8.76722987043519
"100057_at",6.39492416171984,6.54976921190606,6.50326586398748,6.46015814294984,6.55211262284964,6.61598230987964,6.62047752244936,6.51615783940839,6.57139493854144,6.54824648546188,6.42763470462237,6.67040824069282
"100058_at",7.99005543740248,8.35765106342527,8.49859443741383,9.08832563971843,8.51536957748561,8.77365799941472,8.48143004432704,8.55138795591524,8.63229921271246,8.34974272551173,8.2079865517493,8.25512095099402
"100059_at",8.13142873313742,7.91838784978098,7.97274945701496,7.98291641171757,8.18154765990889,7.98961415212026,8.05594185851732,8.01339521818728,8.14813193812219,8.03870547536573,8.0818462362798,8.0112566190673
"100060_i_at",3.44888684176375,3.13960564639641,3.68626256354114,3.14386000047092,3.34899095059059,3.25759333216353,3.24235269381186,3.18473033294895,3.5075720203827,3.15175793979875,3.37247410109605,3.44056227957061
"100061_f_at",6.28111243048163,6.03147117173302,6.02412635799724,6.07481424045253,6.05128907736732,5.94615865037593,5.96979332694915,6.09871997194071,6.05917764766479,5.92381480984301,6.16167659306012,6.16146764489398
"100062_at",5.36414298110768,5.23443710438172,5.21295743993653,5.08246524525901,5.09033420700084,5.16689676469173,5.17170026818529,5.10251706930709,5.1273511070807,5.23806356984892,5.31001008127647,5.15623389493055
"100064_f_at",7.1434041192115,7.10584298276761,7.5603003524477,7.20229358883722,7.23965415164301,7.79412478766474,6.97243312865203,7.21057523112967,7.70915576096567,6.90561765737648,6.30849464354228,7.28164864866653
"100065_r_at",3.2404520545126,3.16198441252939,3.51514731882378,3.145121842037,3.17083719136786,3.5362261264685,3.0542566404702,3.18825566839231,3.92319459615441,3.08660500067633,2.83871770515589,3.3354344919964
"100066_at",7.24747125668859,7.49758686280967,7.50045684096762,7.57146058945873,7.38977014842314,7.48833301675852,7.38750436597866,7.28215487982748,7.48711996255602,7.40029428775581,7.43968214646646,7.45245028972915
"100067_at",6.00216865409194,5.86279577268986,5.64941897190211,5.74341219903019,5.81172479411451,5.52372072878372,5.92538604048857,5.80721504632127,5.75030871859614,5.97801695566023,5.75324301974388,5.79317688816929
"100068_at",8.69256016748061,9.35043315507183,9.94453914677158,10.2189268829582,10.1191313610311,10.8463950062225,9.84732943181818,10.1784619432643,10.6694999292972,9.67064989209131,9.35041757691996,9.65519781249318
